GEOID,NAME,TotalE,TotalM,PovertyE,PovertyM,median_incomeE,median_incomeM,pct_pov,median_income
36015010800,"Census Tract 108, Chemung County, New York",3772,558,684,320,23465,3517,18.1336161187699,23465
36015001000,"Census Tract 10, Chemung County, New York",2897,372,954,316,21517,1937,32.9306178805661,21517
36015000300,"Census Tract 3, Chemung County, New York",1780,276,0,12,,,0,
36055013800,"Census Tract 138, Monroe County, New York",5896,830,856,537,32066,4010,14.5183175033921,32066
36055013104,"Census Tract 131.04, Monroe County, New York",4086,563,1206,554,22088,4333,29.5154185022026,22088
36055004000,"Census Tract 40, Monroe County, New York",1404,291,579,231,13068,4279,41.2393162393162,13068
36055005400,"Census Tract 54, Monroe County, New York",3667,488,625,344,35181,6680,17.0439050995364,35181
36055007100,"Census Tract 71, Monroe County, New York",3263,580,1112,592,19980,6495,34.0790683420166,19980
36055008400,"Census Tract 84, Monroe County, New York",3056,542,1378,514,19333,2633,45.0916230366492,19333
36055002700,"Census Tract 27, Monroe County, New York",1392,310,525,181,22743,6927,37.7155172413793,22743
36055010601,"Census Tract 106.01, Monroe County, New York",2768,444,450,181,23538,6487,16.257225433526,23538
36069050302,"Census Tract 503.02, Ontario County, New York",4209,390,415,212,35020,3041,9.85982418626752,35020
36073040801,"Census Tract 408.01, Orleans County, New York",3491,33,317,115,25450,5119,9.08049269550272,25450
36101961600,"Census Tract 9616, Steuben County, New York",1846,208,96,54,31493,2522,5.20043336944745,31493
36101960900,"Census Tract 9609, Steuben County, New York",2588,349,564,212,20913,3905,21.7928902627512,20913
36121970500,"Census Tract 9705, Wyoming County, New York",4817,24,441,201,33781,6020,9.15507577330288,33781
36029003700,"Census Tract 37, Erie County, New York",3663,623,1429,397,18257,3474,39.011739011739,18257
36029005202,"Census Tract 52.02, Erie County, New York",2722,296,544,139,14154,2831,19.9853049228508,14154
36029005700,"Census Tract 57, Erie County, New York",3178,640,1343,587,15513,3055,42.2592825676526,15513
36029010103,"Census Tract 101.03, Erie County, New York",3631,631,300,148,37510,2873,8.26218672541999,37510
36029000700,"Census Tract 7, Erie County, New York",3498,452,144,81,37154,7262,4.11663807890223,37154
36029009004,"Census Tract 90.04, Erie County, New York",3789,565,664,486,46759,12219,17.524412773819,46759
36029009701,"Census Tract 97.01, Erie County, New York",3011,383,327,331,34720,3380,10.8601793424112,34720
36029008800,"Census Tract 88, Erie County, New York",3595,497,143,122,41769,4192,3.97774687065369,41769
36029015401,"Census Tract 154.01, Erie County, New York",2831,446,204,138,33054,5377,7.20593429883433,33054
36029015003,"Census Tract 150.03, Erie County, New York",3350,20,284,190,28615,3303,8.47761194029851,28615
36029016200,"Census Tract 162, Erie County, New York",2319,337,361,218,25420,1940,15.5670547649849,25420
36029013002,"Census Tract 130.02, Erie County, New York",5812,824,133,91,34991,4907,2.28836889194769,34991
36037951200,"Census Tract 9512, Genesee County, New York",4625,240,619,273,30815,3189,13.3837837837838,30815
36005012701,"Census Tract 127.01, Bronx County, New York",2046,485,470,136,18441,2443,22.9716520039101,18441
36005037300,"Census Tract 373, Bronx County, New York",6191,1446,2800,1276,17266,3683,45.2269423356485,17266
36005011900,"Census Tract 119, Bronx County, New York",5399,1160,1585,458,16120,2952,29.3572883867383,16120
36005039100,"Census Tract 391, Bronx County, New York",7559,1061,2433,798,16849,5404,32.1867971953962,16849
36005007900,"Census Tract 79, Bronx County, New York",6795,1067,2812,700,16117,5784,41.383370125092,16117
36005020601,"Census Tract 206.01, Bronx County, New York",2469,612,629,248,23385,6809,25.4759011745646,23385
36005003500,"Census Tract 35, Bronx County, New York",3738,853,1383,399,20773,7300,36.9983948635634,20773
36005021501,"Census Tract 215.01, Bronx County, New York",4478,904,1081,366,22435,8333,24.1402411790978,22435
36005041800,"Census Tract 418, Bronx County, New York",3555,780,326,146,37571,11469,9.17018284106892,37571
36005026900,"Census Tract 269, Bronx County, New York",3652,764,920,553,19668,10038,25.1916757940854,19668
36005015800,"Census Tract 158, Bronx County, New York",1307,341,228,131,45481,18420,17.4445294567712,45481
36005034000,"Census Tract 340, Bronx County, New York",5683,789,655,423,28766,4945,11.5256026746437,28766
36005036502,"Census Tract 365.02, Bronx County, New York",2482,453,915,427,17408,4042,36.8654311039484,17408
36005016200,"Census Tract 162, Bronx County, New York",1839,369,183,94,40133,10143,9.9510603588907,40133
36005023301,"Census Tract 233.01, Bronx County, New York",3855,581,1038,331,20471,4496,26.9260700389105,20471
36005028600,"Census Tract 286, Bronx County, New York",949,198,88,73,51071,26310,9.27291886195996,51071
36005044800,"Census Tract 448, Bronx County, New York",2068,428,288,149,41536,8916,13.926499032882,41536
36005040800,"Census Tract 408, Bronx County, New York",4709,824,866,264,20560,7563,18.3903164153748,20560
36005022300,"Census Tract 223, Bronx County, New York",5168,879,1896,698,15623,2381,36.687306501548,15623
36005002701,"Census Tract 27.01, Bronx County, New York",2672,588,1697,561,13016,2817,63.5104790419162,13016
36005023702,"Census Tract 237.02, Bronx County, New York",1395,536,448,224,25009,9796,32.1146953405018,25009
36005015300,"Census Tract 153, Bronx County, New York",4311,647,1342,362,25180,8039,31.1296682904199,25180
36019101000,"Census Tract 1010, Clinton County, New York",3998,385,198,75,34563,7241,4.95247623811906,34563
36047003800,"Census Tract 38, Kings County, New York",1335,232,122,95,61528,15341,9.13857677902622,61528
36047004100,"Census Tract 41, Kings County, New York",3606,601,310,152,82772,8583,8.59678313921243,82772
36047005202,"Census Tract 52.02, Kings County, New York",2501,294,415,206,67423,18844,16.593362654938,67423
36047016200,"Census Tract 162, Kings County, New York",2169,396,160,95,47957,4132,7.37667127708622,47957
36047019900,"Census Tract 199, Kings County, New York",3769,488,308,224,63942,13551,8.17192889360573,63942
36047021900,"Census Tract 219, Kings County, New York",3677,603,563,282,49455,13663,15.3113951590971,49455
36047017800,"Census Tract 178, Kings County, New York",3041,431,350,222,26735,8457,11.5093719171325,26735
36047017900,"Census Tract 179, Kings County, New York",4385,668,870,594,34859,8518,19.8403648802737,34859
36047018501,"Census Tract 185.01, Kings County, New York",4130,702,1225,354,18762,5101,29.6610169491525,18762
36047019700,"Census Tract 197, Kings County, New York",3669,436,177,112,84316,6190,4.82420278004906,84316
36047008200,"Census Tract 82, Kings County, New York",3627,618,686,277,35182,10194,18.9137027846705,35182
36047012200,"Census Tract 122, Kings County, New York",5144,911,1448,463,17256,1705,28.149300155521,17256
36047014700,"Census Tract 147, Kings County, New York",2646,336,332,178,58203,14888,12.5472411186697,58203
36047003600,"Census Tract 36, Kings County, New York",3465,395,468,228,49227,7489,13.5064935064935,49227
