GEOID,NAME,TotalE,TotalM,PovertyE,PovertyM,median_incomeE,median_incomeM,pct_pov,median_income
36001000100,"Census Tract 1, Albany County, New York",2308,256,704,323,22443,3655,30.5025996533796,22443
36001000200,"Census Tract 2, Albany County, New York",5506,621,2508,659,19063,4901,45.5503087540865,19063
36001000401,"Census Tract 4.01, Albany County, New York",2211,273,81,52,32286,5930,3.66350067842605,32286
36001000501,"Census Tract 5.01, Albany County, New York",3247,442,1118,385,17087,6683,34.431783184478,17087
36001001500,"Census Tract 15, Albany County, New York",4198,539,1643,419,17311,5054,39.1376846117199,17311
36001001901,"Census Tract 19.01, Albany County, New York",2709,256,225,179,33516,4474,8.30564784053156,33516
36001002200,"Census Tract 22, Albany County, New York",2398,362,379,170,27991,4885,15.8048373644704,27991
36001013000,"Census Tract 130, Albany County, New York",6947,390,527,218,30814,2995,7.5860083489276,30814
36001013507,"Census Tract 135.07, Albany County, New York",3419,348,272,225,39781,8100,7.95554255630301,39781
36001013706,"Census Tract 137.06, Albany County, New York",2188,149,6,11,55469,7812,0.274223034734918,55469
36001013901,"Census Tract 139.01, Albany County, New York",2580,199,159,138,34801,5245,6.16279069767442,34801
36001014402,"Census Tract 144.02, Albany County, New York",3316,20,117,71,29668,4918,3.52834740651387,29668
36001014503,"Census Tract 145.03, Albany County, New York",2795,18,221,206,42500,2844,7.90697674418605,42500
36001014614,"Census Tract 146.14, Albany County, New York",5740,323,145,105,40837,5630,2.52613240418118,40837
36005000100,"Census Tract 1, Bronx County, New York",11517,383,0,123,9801,1091,0,9801
36005000200,"Census Tract 2, Bronx County, New York",4286,542,542,348,29292,4446,12.6458236117592,29292
36005000400,"Census Tract 4, Bronx County, New York",4893,484,605,289,36322,5127,12.3646024933579,36322
36005002701,"Census Tract 27.01, Bronx County, New York",3063,286,1622,390,11212,3170,52.9546196539341,11212
36005003500,"Census Tract 35, Bronx County, New York",3729,512,1740,499,12399,3824,46.6613032984714,12399
36005004001,"Census Tract 40.01, Bronx County, New York",1391,367,257,248,23239,11456,18.4759166067577,23239
36005004600,"Census Tract 46, Bronx County, New York",1557,650,296,159,14677,7491,19.0109184328838,14677
36005005200,"Census Tract 52, Bronx County, New York",1707,285,581,210,14899,4032,34.0363210310486,14899
